runtime,model,precision,alpha,similarity
NaN,transcript,single,0.1,Tfunction
NaN,transcript,single,0.1,euclidean
NaN,transcript,single,0.1,squaredeuclidean
NaN,transcript,single,0.1,seuclidean
NaN,transcript,single,0.1,cityblock
NaN,transcript,single,0.1,chebychev
NaN,transcript,single,0.1,cosine
NaN,transcript,single,0.1,correlation
NaN,transcript,single,0.2,Tfunction
NaN,transcript,single,0.2,euclidean
NaN,transcript,single,0.2,squaredeuclidean
NaN,transcript,single,0.2,seuclidean
NaN,transcript,single,0.2,cityblock
NaN,transcript,single,0.2,chebychev
NaN,transcript,single,0.2,cosine
NaN,transcript,single,0.2,correlation
NaN,transcript,single,0.3,Tfunction
NaN,transcript,single,0.3,euclidean
NaN,transcript,single,0.3,squaredeuclidean
NaN,transcript,single,0.3,seuclidean
NaN,transcript,single,0.3,cityblock
NaN,transcript,single,0.3,chebychev
NaN,transcript,single,0.3,cosine
NaN,transcript,single,0.3,correlation
NaN,transcript,double,0.1,Tfunction
NaN,transcript,double,0.1,euclidean
NaN,transcript,double,0.1,squaredeuclidean
NaN,transcript,double,0.1,seuclidean
NaN,transcript,double,0.1,cityblock
NaN,transcript,double,0.1,chebychev
NaN,transcript,double,0.1,cosine
NaN,transcript,double,0.1,correlation
NaN,transcript,double,0.2,Tfunction
NaN,transcript,double,0.2,euclidean
NaN,transcript,double,0.2,squaredeuclidean
NaN,transcript,double,0.2,seuclidean
NaN,transcript,double,0.2,cityblock
NaN,transcript,double,0.2,chebychev
NaN,transcript,double,0.2,cosine
NaN,transcript,double,0.2,correlation
NaN,transcript,double,0.3,Tfunction
NaN,transcript,double,0.3,euclidean
NaN,transcript,double,0.3,squaredeuclidean
NaN,transcript,double,0.3,seuclidean
NaN,transcript,double,0.3,cityblock
NaN,transcript,double,0.3,chebychev
NaN,transcript,double,0.3,cosine
NaN,transcript,double,0.3,correlation
NaN,coding-genes,single,0.1,Tfunction
NaN,coding-genes,single,0.1,euclidean
NaN,coding-genes,single,0.1,squaredeuclidean
NaN,coding-genes,single,0.1,seuclidean
NaN,coding-genes,single,0.1,cityblock
NaN,coding-genes,single,0.1,chebychev
NaN,coding-genes,single,0.1,cosine
NaN,coding-genes,single,0.1,correlation
NaN,coding-genes,single,0.2,Tfunction
NaN,coding-genes,single,0.2,euclidean
NaN,coding-genes,single,0.2,squaredeuclidean
NaN,coding-genes,single,0.2,seuclidean
NaN,coding-genes,single,0.2,cityblock
NaN,coding-genes,single,0.2,chebychev
NaN,coding-genes,single,0.2,cosine
NaN,coding-genes,single,0.2,correlation
NaN,coding-genes,single,0.3,Tfunction
NaN,coding-genes,single,0.3,euclidean
NaN,coding-genes,single,0.3,squaredeuclidean
NaN,coding-genes,single,0.3,seuclidean
NaN,coding-genes,single,0.3,cityblock
NaN,coding-genes,single,0.3,chebychev
NaN,coding-genes,single,0.3,cosine
NaN,coding-genes,single,0.3,correlation
NaN,coding-genes,double,0.1,Tfunction
NaN,coding-genes,double,0.1,euclidean
NaN,coding-genes,double,0.1,squaredeuclidean
NaN,coding-genes,double,0.1,seuclidean
NaN,coding-genes,double,0.1,cityblock
NaN,coding-genes,double,0.1,chebychev
NaN,coding-genes,double,0.1,cosine
NaN,coding-genes,double,0.1,correlation
NaN,coding-genes,double,0.2,Tfunction
NaN,coding-genes,double,0.2,euclidean
NaN,coding-genes,double,0.2,squaredeuclidean
NaN,coding-genes,double,0.2,seuclidean
NaN,coding-genes,double,0.2,cityblock
NaN,coding-genes,double,0.2,chebychev
NaN,coding-genes,double,0.2,cosine
NaN,coding-genes,double,0.2,correlation
NaN,coding-genes,double,0.3,Tfunction
NaN,coding-genes,double,0.3,euclidean
NaN,coding-genes,double,0.3,squaredeuclidean
NaN,coding-genes,double,0.3,seuclidean
NaN,coding-genes,double,0.3,cityblock
NaN,coding-genes,double,0.3,chebychev
NaN,coding-genes,double,0.3,cosine
NaN,coding-genes,double,0.3,correlation
